Column Number,R,G,B
0,22,9,34
1,21,8,33
2,21,8,34
3,22,9,34
4,23,9,36
5,23,9,36
6,23,9,37
7,23,9,37
8,24,10,39
9,24,10,40
10,24,10,41
11,25,11,42
12,25,11,43
13,26,12,43
14,26,12,44
15,26,12,45
16,26,12,46
17,25,12,46
18,26,13,47
19,26,13,47
20,26,13,48
21,26,13,48
22,26,13,49
23,26,13,49
24,26,13,50
25,26,13,50
26,27,13,52
27,27,14,53
28,28,14,54
29,28,15,54
30,30,16,57
31,30,16,57
32,30,16,58
33,30,17,58
34,31,17,59
35,31,17,59
36,32,17,59
37,33,18,60
38,35,19,63
39,33,16,60
40,34,17,63
41,34,17,63
42,35,18,64
43,37,19,66
44,37,19,67
45,38,20,68
46,39,20,69
47,39,21,70
48,39,21,70
49,38,21,69
50,41,24,73
51,40,23,72
52,40,23,73
53,44,27,78
54,41,25,76
55,43,27,79
56,43,27,80
57,42,26,80
58,42,27,82
59,44,28,83
60,44,28,84
61,44,29,84
62,43,28,84
63,44,29,85
64,45,30,88
65,45,30,88
66,47,31,90
67,47,32,90
68,45,30,88
69,45,31,89
70,45,31,89
71,45,31,89
72,47,33,92
73,47,32,92
74,47,33,94
75,48,34,95
76,49,33,96
77,49,34,97
78,51,35,99
79,52,36,100
80,54,38,103
81,57,40,106
82,57,39,107
83,58,40,108
84,59,40,110
85,61,41,113
86,64,42,116
87,65,44,119
88,69,46,122
89,71,48,125
90,70,46,124
91,71,47,125
92,73,49,127
93,74,49,128
94,75,50,129
95,74,50,128
96,74,51,128
97,75,53,130
98,75,52,131
99,75,53,131
100,76,53,133
101,77,54,135
102,78,54,137
103,79,56,139
104,83,59,143
105,83,58,143
106,85,59,146
107,87,61,148
108,88,62,150
109,89,63,151
110,91,64,153
111,92,66,155
112,94,70,159
113,95,72,161
114,99,77,165
115,99,77,166
116,101,79,168
117,102,81,169
118,105,85,173
119,107,88,175
120,112,93,178
121,114,96,180
122,120,102,184
123,123,107,186
124,125,109,187
125,128,113,189
126,131,116,191
127,136,121,194
128,136,122,194
129,137,123,193
130,140,126,196
131,143,129,198
132,145,130,199
133,147,132,200
134,146,131,200
135,145,131,200
136,145,131,201
137,144,130,202
138,143,128,202
139,142,127,202
140,143,126,203
141,143,126,203
142,143,125,204
143,144,125,205
144,144,124,205
145,149,128,209
146,154,134,213
147,156,136,213
148,158,138,215
149,157,138,214
150,157,137,215
151,157,138,215
152,157,139,216
153,157,140,217
154,158,141,217
155,157,141,217
156,154,138,215
157,152,136,215
158,151,134,215
159,149,133,213
160,149,133,211
161,151,134,211
162,153,137,213
163,153,137,213
164,151,135,211
165,149,133,209
166,148,132,208
167,147,131,207
168,146,129,205
169,147,130,206
170,148,131,207
171,148,132,208
172,150,133,210
173,151,134,211
174,151,134,212
175,150,133,212
176,150,133,213
177,150,133,213
178,150,133,212
179,148,132,211
180,149,132,210
181,149,132,211
182,150,133,212
183,150,133,212
184,151,134,213
185,149,132,212
186,148,130,212
187,147,129,211
188,144,126,210
189,141,123,208
190,139,120,206
191,140,122,207
192,139,121,206
193,137,120,204
194,136,119,204
195,136,119,204
196,135,118,205
197,133,117,204
198,132,115,203
199,131,115,202
200,124,107,196
201,120,103,192
202,115,97,188
203,110,93,183
204,107,89,180
205,105,86,178
206,104,84,176
207,102,83,175
208,102,82,174
209,100,81,172
210,98,78,168
211,97,78,166
212,96,77,164
213,95,76,161
214,95,76,160
215,95,77,159
216,96,78,159
217,94,76,156
218,94,76,157
219,92,74,155
220,88,70,152
221,87,69,151
222,86,69,151
223,86,68,150
224,80,63,146
225,78,62,144
226,74,57,140
227,71,54,136
228,69,51,132
229,69,51,132
230,71,52,132
231,72,53,131
232,72,52,130
233,70,50,128
234,68,46,125
235,68,45,123
236,69,45,124
237,70,45,124
238,70,44,124
239,71,43,123
240,74,42,122
241,74,40,120
242,72,38,118
243,71,37,116
244,70,36,115
245,70,36,114
246,70,35,112
247,69,35,111
248,67,33,108
249,67,34,107
250,65,32,103
251,63,30,100
252,61,29,98
253,59,28,95
254,57,27,93
255,55,26,90
256,54,25,88
257,53,25,86
258,54,25,87
259,52,24,85
260,52,24,85
261,51,24,85
262,54,27,86
263,52,25,84
264,49,23,81
265,48,23,79
266,47,21,77
267,46,21,74
268,46,20,73
269,47,21,72
270,44,18,69
271,43,18,68
272,41,18,67
273,41,18,66
274,40,17,65
275,39,16,64
276,38,16,62
277,37,15,60
278,35,14,58
279,35,14,56
280,34,14,55
281,33,13,52
282,31,13,50
283,31,12,48
284,30,12,47
285,29,11,45
286,28,11,44
287,27,11,43
288,26,10,42
289,25,10,41
290,25,10,41
291,24,9,40
292,24,9,40
293,23,9,39
294,24,9,39
295,23,9,38
296,23,8,37
297,22,8,36
298,22,8,35
299,22,8,35
300,21,8,34
301,22,8,35
302,21,8,34
303,20,8,32
304,19,8,31
305,18,8,31
306,18,8,31
307,17,7,30
308,18,8,30
309,17,7,29
310,16,6,29
